INSERT INTO employee (employee_num, company_code, employee_name, employee_title, employee_team, employee_birthday, employee_thum, employee_join_date, employee_leave_date, created_at, updated_at)
VALUES
('202100001', 'SFY001KOR', '정재명', '대리', '영업팀', '1999-07-14', 'default', '2021-07-12', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('202000001', 'SFY001KOR', '윤재명', '사원', '경영지원팀', '1975-06-08', 'default', '2020-12-11', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('199500001', 'SFY001KOR', '최부진', '사원', '영업팀', '1963-08-23', 'default', '1995-09-08', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200500001', 'SFY001KOR', '한지훈', '사원', '영업팀', '1967-03-12', 'default', '2005-11-20', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('201500001', 'SFY001KOR', '장정민', '사원', '개발팀', '1996-08-20', 'default', '2015-09-20', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200500002', 'SFY001KOR', '김영철', '대리', '품질관리팀', '1970-12-01', 'default', '2005-06-25', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200700001', 'SFY001KOR', '한건희', '대리', '생산기술팀', '1959-03-27', 'default', '2007-08-21', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('202100002', 'SFY001KOR', '정형찬', '사원', '개발팀', '1972-03-17', 'default', '2021-02-23', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200400001', 'SFY001KOR', '이지훈', '사원', '경영지원팀', '1960-11-04', 'default', '2004-06-02', '2013-06-07', CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('202200001', 'SFY001KOR', '임정민', '사원', '영업팀', '1984-02-26', 'default', '2022-10-16', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('198900001', 'SFY001KOR', '오승호', '사원', '영업팀', '1961-03-19', 'default', '1989-08-12', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('201100001', 'SFY001KOR', '박영철', '부장', '개발팀', '1988-06-05', 'default', '2011-10-04', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('199500002', 'SFY001KOR', '이서연', '대리', '개발팀', '1973-10-23', 'default', '1995-05-11', '1998-07-11', CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('202300001', 'SFY001KOR', '한예은', '대리', '영업팀', '1986-07-18', 'default', '2023-05-16', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('198500001', 'SFY001KOR', '박현진', '사원', '품질관리팀', '1967-11-01', 'default', '1985-07-18', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200900001', 'SFY001KOR', '임준호', '대리', '개발팀', '1961-07-17', 'default', '2009-04-06', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('201000001', 'SFY001KOR', '정나라', '사원', '경영지원팀', '1975-12-06', 'default', '2010-02-07', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('202300002', 'SFY001KOR', '오하은', '과장', '영업팀', '1998-09-24', 'default', '2023-11-09', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200300001', 'SFY001KOR', '임빈', '대리', '영업팀', '1966-04-05', 'default', '2003-01-31', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200200001', 'SFY001KOR', '임혜진', '사원', '경영지원팀', '1959-05-28', 'default', '2002-01-25', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200800001', 'SFY001KOR', '윤승호', '사원', '생산기술팀', '1984-12-27', 'default', '2008-05-19', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200700002', 'SFY001KOR', '한유진', '과장', '품질관리팀', '1981-06-18', 'default', '2007-04-25', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('201800001', 'SFY001KOR', '정재용', '사원', '품질관리팀', '1997-02-27', 'default', '2018-04-04', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200700003', 'SFY001KOR', '최서연', '사원', '경영지원팀', '1986-05-10', 'default', '2007-02-16', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('201100002', 'SFY001KOR', '박재인', '차장', '품질관리팀', '1980-08-05', 'default', '2011-07-28', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('200600001', 'SFY001KOR', '장민철', '사원', '생산기술팀', '1987-11-29', 'default', '2006-09-09', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('201700001', 'SFY001KOR', '이하은', '사원', '영업팀', '1972-08-17', 'default', '2017-04-07', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('201300001', 'SFY001KOR', '오태원', '사원', '영업팀', '1964-06-07', 'default', '2013-07-09', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
('201500002', 'SFY001KOR', '임재용', '대리', '경영지원팀', '1961-08-13', 'default', '2015-08-10', NULL, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP),
